source,vintage,series_code,concept,granularity,country,first_year,last_year,n_obs,unit,cofog_split,esa_revenue_split
OECD_EO,"OECD Economic Outlook (live SDMX, retrieved 2026-09-10)",TYHA,Cyclically adjusted direct taxes on households,revenue_component,GBR,1985,2027,43,national currency,no,partial
OECD_EO,"OECD Economic Outlook (live SDMX, retrieved 2026-09-10)",YPGQA,"Cyclically adjusted current disbursements, GG",expenditure_total,DEU,1991,2027,37,% of potential GDP,no,no
OECD_EO,"OECD Economic Outlook (live SDMX, retrieved 2026-09-10)",YPGQA,"Cyclically adjusted current disbursements, GG",expenditure_total,FRA,1985,2027,43,% of potential GDP,no,no
OECD_EO,"OECD Economic Outlook (live SDMX, retrieved 2026-09-10)",YPGQA,"Cyclically adjusted current disbursements, GG",expenditure_total,GBR,1985,2027,43,% of potential GDP,no,no
OECD_EO,"OECD Economic Outlook (live SDMX, retrieved 2026-09-10)",YPGXQA,"Cyclically adjusted current disbursements excl. gross interest, GG",expenditure_total,DEU,1991,2027,37,% of potential GDP,no,no
OECD_EO,"OECD Economic Outlook (live SDMX, retrieved 2026-09-10)",YPGXQA,"Cyclically adjusted current disbursements excl. gross interest, GG",expenditure_total,FRA,1985,2027,43,% of potential GDP,no,no
OECD_EO,"OECD Economic Outlook (live SDMX, retrieved 2026-09-10)",YPGXQA,"Cyclically adjusted current disbursements excl. gross interest, GG",expenditure_total,GBR,1985,2027,43,% of potential GDP,no,no
OECD_EO,"OECD Economic Outlook (live SDMX, retrieved 2026-09-10)",YRGQA,"Cyclically adjusted current receipts, GG",revenue_total,DEU,1991,2027,37,% of potential GDP,no,no
OECD_EO,"OECD Economic Outlook (live SDMX, retrieved 2026-09-10)",YRGQA,"Cyclically adjusted current receipts, GG",revenue_total,FRA,1985,2027,43,% of potential GDP,no,no
OECD_EO,"OECD Economic Outlook (live SDMX, retrieved 2026-09-10)",YRGQA,"Cyclically adjusted current receipts, GG",revenue_total,GBR,1985,2027,43,% of potential GDP,no,no
