iso3,country,block,variant,weo_vintage,base_year,year,side,component,line_code,contribution_pp,measure,component_meaning,notes
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,expenditure,covered_line,GF01,-0.6781738369995766,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,expenditure,covered_line,GF07,-0.10780961357425567,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,expenditure,covered_line,GF09,-0.05864712400564659,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,expenditure,covered_line,GF10,-1.0477910543713054,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,expenditure,denom_effect,,0.10434036815705428,"pp of GDP, change since the base year",effect of the GDP denominator path on the ratio,"covered contributions on the lines' own source GDP paths minus the WEO NGDP version (§8.3; reported, never absorbed)"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,expenditure,historical_uncovered_growth,,6.825462171974062,growth factor,"the same remainder's realised historical growth, for comparison","annualised nominal growth of the same uncovered lines over the five anchor years to 2024, % per year"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,expenditure,implied_uncovered_growth,,8.37189930157698,growth factor,growth the uncovered remainder would need to close the residual,"annualised nominal growth of the uncovered lines implied by the official total, % per year (NOT pp of GDP; §8.3 plausibility diagnostic, not a forecast)"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,expenditure,resid_coverage,,-0.7838020345196905,"pp of GDP, change since the base year","part of the change attributable to lines with no published forecast (a coverage hole, never allocated)","official total (EC_AMECO, Q12 deviation for GBR per D-S3-001) minus covered lines, both on national GDP paths: the uncovered lines"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,expenditure,resid_disagreement,,1.5451991237259208,"pp of GDP, change since the base year",part attributable to covered lines moving differently from the WEO aggregate,"WEO side change minus the official total's change, each on its own GDP path"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,revenue,covered_line,R01,0.14914586722521855,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,revenue,covered_line,R03,0.1810106836308084,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,revenue,covered_line,R04,-0.2766311539569136,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,revenue,covered_line,R06,1.4296811678592674,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,revenue,covered_line,R09,0.3030739223351925,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,revenue,denom_effect,,0.15204902387409946,"pp of GDP, change since the base year",effect of the GDP denominator path on the ratio,"covered contributions on the lines' own source GDP paths minus the WEO NGDP version (§8.3; reported, never absorbed)"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,revenue,historical_uncovered_growth,,1.7017824273614313,growth factor,"the same remainder's realised historical growth, for comparison","annualised nominal growth of the same uncovered lines over the five anchor years to 2024, % per year"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,revenue,implied_uncovered_growth,,4.77333390844783,growth factor,growth the uncovered remainder would need to close the residual,"annualised nominal growth of the uncovered lines implied by the official total, % per year (NOT pp of GDP; §8.3 plausibility diagnostic, not a forecast)"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,revenue,resid_coverage,,-0.3866607612476083,"pp of GDP, change since the base year","part of the change attributable to lines with no published forecast (a coverage hole, never allocated)","official total (EC_AMECO, Q12 deviation for GBR per D-S3-001) minus covered lines, both on national GDP paths: the uncovered lines"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2026,revenue,resid_disagreement,,-1.237754925569512,"pp of GDP, change since the base year",part attributable to covered lines moving differently from the WEO aggregate,"WEO side change minus the official total's change, each on its own GDP path"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,balance,covered_total,,-0.21520051283302055,"pp of GDP, change since the base year",sum of the covered-line contributions on that side,sum of signed covered-line contributions — what the granular official forecasts explain of the WEO change
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,balance,explained_share,,0.19165349158815825,share (0-1),covered contributions as a share of the WEO change (1.0 = fully explained by official granular forecasts),"covered_total / weo_change (a ratio, not pp): the Gate 5 headline number"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,balance,weo_change,,-1.122862469395873,"pp of GDP, change since the base year",the WEO's own change in NLB/GDP over the same span — the quantity being explained,Δ((GGXCNL/NGDP)) from base year; the decomposition target — components above sum to this exactly (V26)
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,balance,weo_internal_wedge,,-9.769962616701378e-15,"pp of GDP, change since the base year",WEO-internal inconsistency between GGR-GGX and GGXCNL at that horizon,GGXCNL change minus (GGR change - GGX change) inside the WEO tables; rounding only
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,expenditure,covered_line,GF01,-0.9821478202085732,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,expenditure,covered_line,GF07,-0.06686615592061407,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,expenditure,covered_line,GF09,-0.031367126234753406,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,expenditure,covered_line,GF10,-1.194692977097378,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,expenditure,denom_effect,,0.11923929271046818,"pp of GDP, change since the base year",effect of the GDP denominator path on the ratio,"covered contributions on the lines' own source GDP paths minus the WEO NGDP version (§8.3; reported, never absorbed)"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,expenditure,historical_uncovered_growth,,6.825462171974062,growth factor,"the same remainder's realised historical growth, for comparison","annualised nominal growth of the same uncovered lines over the five anchor years to 2024, % per year"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,expenditure,implied_uncovered_growth,,7.277955396255398,growth factor,growth the uncovered remainder would need to close the residual,"annualised nominal growth of the uncovered lines implied by the official total, % per year (NOT pp of GDP; §8.3 plausibility diagnostic, not a forecast)"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,expenditure,resid_coverage,,-0.8111400757455072,"pp of GDP, change since the base year","part of the change attributable to lines with no published forecast (a coverage hole, never allocated)","official total (EC_AMECO, Q12 deviation for GBR per D-S3-001) minus covered lines, both on national GDP paths: the uncovered lines"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,expenditure,resid_disagreement,,1.394719294939056,"pp of GDP, change since the base year",part attributable to covered lines moving differently from the WEO aggregate,"WEO side change minus the official total's change, each on its own GDP path"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,revenue,covered_line,R01,0.1456395228073934,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,revenue,covered_line,R03,0.25075863747409805,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,revenue,covered_line,R04,-0.33382437439091683,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,revenue,covered_line,R06,1.614976534817314,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,revenue,covered_line,R09,0.38232324592040945,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,revenue,denom_effect,,0.05233660299823306,"pp of GDP, change since the base year",effect of the GDP denominator path on the ratio,"covered contributions on the lines' own source GDP paths minus the WEO NGDP version (§8.3; reported, never absorbed)"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,revenue,historical_uncovered_growth,,1.7017824273614313,growth factor,"the same remainder's realised historical growth, for comparison","annualised nominal growth of the same uncovered lines over the five anchor years to 2024, % per year"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,revenue,implied_uncovered_growth,,3.776658037455749,growth factor,growth the uncovered remainder would need to close the residual,"annualised nominal growth of the uncovered lines implied by the official total, % per year (NOT pp of GDP; §8.3 plausibility diagnostic, not a forecast)"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,revenue,resid_coverage,,-0.5393348402350213,"pp of GDP, change since the base year","part of the change attributable to lines with no published forecast (a coverage hole, never allocated)","official total (EC_AMECO, Q12 deviation for GBR per D-S3-001) minus covered lines, both on national GDP paths: the uncovered lines"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2027,revenue,resid_disagreement,,-1.1234822312300718,"pp of GDP, change since the base year",part attributable to covered lines moving differently from the WEO aggregate,"WEO side change minus the official total's change, each on its own GDP path"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2028,balance,covered_total,,-1.3127312901751607,"pp of GDP, change since the base year",sum of the covered-line contributions on that side,sum of signed covered-line contributions — what the granular official forecasts explain of the WEO change
DEU,Germany,forecast,maximum_extension,2025-04,2024,2028,balance,explained_share,,0.982917010826093,share (0-1),covered contributions as a share of the WEO change (1.0 = fully explained by official granular forecasts),"covered_total / weo_change (a ratio, not pp): the Gate 5 headline number"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2028,balance,weo_change,,-1.3355464151260086,"pp of GDP, change since the base year",the WEO's own change in NLB/GDP over the same span — the quantity being explained,Δ((GGXCNL/NGDP)) from base year; the decomposition target — components above sum to this exactly (V26)
DEU,Germany,forecast,maximum_extension,2025-04,2024,2028,balance,weo_internal_wedge,,-4.218847493575595e-15,"pp of GDP, change since the base year",WEO-internal inconsistency between GGR-GGX and GGXCNL at that horizon,GGXCNL change minus (GGR change - GGX change) inside the WEO tables; rounding only
DEU,Germany,forecast,maximum_extension,2025-04,2024,2028,expenditure,covered_line,GF07,-0.03333353364552427,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2028,expenditure,covered_line,GF09,-0.02342189450582552,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2028,expenditure,covered_line,GF10,-1.2555568235277899,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2028,expenditure,denom_effect,,0.11500053045985648,"pp of GDP, change since the base year",effect of the GDP denominator path on the ratio,"covered contributions on the lines' own source GDP paths minus the WEO NGDP version (§8.3; reported, never absorbed)"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2028,expenditure,resid_total,,-0.751291026284908,"pp of GDP, change since the base year","coverage + disagreement, where the two cannot be split","no independent official total at this horizon (AMECO envelope ends 2027; GBR has no level at the base year, OQ-4) — coverage and disagreement residuals collapse (§8.3)"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2028,revenue,covered_line,R01,0.13766161691630696,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2028,revenue,covered_line,R03,0.3158027509336872,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2028,revenue,covered_line,R04,-0.4538834063460152,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2028,revenue,denom_effect,,0.15362535261486598,"pp of GDP, change since the base year",effect of the GDP denominator path on the ratio,"covered contributions on the lines' own source GDP paths minus the WEO NGDP version (§8.3; reported, never absorbed)"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2028,revenue,resid_total,,0.45985001825934185,"pp of GDP, change since the base year","coverage + disagreement, where the two cannot be split","no independent official total at this horizon (AMECO envelope ends 2027; GBR has no level at the base year, OQ-4) — coverage and disagreement residuals collapse (§8.3)"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2029,balance,covered_total,,-1.1617300382357514,"pp of GDP, change since the base year",sum of the covered-line contributions on that side,sum of signed covered-line contributions — what the granular official forecasts explain of the WEO change
DEU,Germany,forecast,maximum_extension,2025-04,2024,2029,balance,explained_share,,0.7768761498596702,share (0-1),covered contributions as a share of the WEO change (1.0 = fully explained by official granular forecasts),"covered_total / weo_change (a ratio, not pp): the Gate 5 headline number"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2029,balance,weo_change,,-1.495386411908254,"pp of GDP, change since the base year",the WEO's own change in NLB/GDP over the same span — the quantity being explained,Δ((GGXCNL/NGDP)) from base year; the decomposition target — components above sum to this exactly (V26)
DEU,Germany,forecast,maximum_extension,2025-04,2024,2029,balance,weo_internal_wedge,,-9.103828801926284e-15,"pp of GDP, change since the base year",WEO-internal inconsistency between GGR-GGX and GGXCNL at that horizon,GGXCNL change minus (GGR change - GGX change) inside the WEO tables; rounding only
DEU,Germany,forecast,maximum_extension,2025-04,2024,2029,expenditure,covered_line,GF07,-0.014196427436020953,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2029,expenditure,covered_line,GF09,-0.032359713036585885,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2029,expenditure,covered_line,GF10,-1.2479637358146778,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2029,expenditure,denom_effect,,-0.00015400410460353342,"pp of GDP, change since the base year",effect of the GDP denominator path on the ratio,"covered contributions on the lines' own source GDP paths minus the WEO NGDP version (§8.3; reported, never absorbed)"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2029,expenditure,resid_total,,-0.943150516039521,"pp of GDP, change since the base year","coverage + disagreement, where the two cannot be split","no independent official total at this horizon (AMECO envelope ends 2027; GBR has no level at the base year, OQ-4) — coverage and disagreement residuals collapse (§8.3)"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2029,revenue,covered_line,R01,0.11097630397614855,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2029,revenue,covered_line,R03,0.49635848533527566,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2029,revenue,covered_line,R04,-0.474544951259891,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2029,revenue,denom_effect,,0.18520684001567866,"pp of GDP, change since the base year",effect of the GDP denominator path on the ratio,"covered contributions on the lines' own source GDP paths minus the WEO NGDP version (§8.3; reported, never absorbed)"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2029,revenue,resid_total,,0.4244413064559524,"pp of GDP, change since the base year","coverage + disagreement, where the two cannot be split","no independent official total at this horizon (AMECO envelope ends 2027; GBR has no level at the base year, OQ-4) — coverage and disagreement residuals collapse (§8.3)"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2030,balance,covered_total,,-1.0736196885120575,"pp of GDP, change since the base year",sum of the covered-line contributions on that side,sum of signed covered-line contributions — what the granular official forecasts explain of the WEO change
DEU,Germany,forecast,maximum_extension,2025-04,2024,2030,balance,explained_share,,0.6507640212067154,share (0-1),covered contributions as a share of the WEO change (1.0 = fully explained by official granular forecasts),"covered_total / weo_change (a ratio, not pp): the Gate 5 headline number"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2030,balance,weo_change,,-1.6497834138421457,"pp of GDP, change since the base year",the WEO's own change in NLB/GDP over the same span — the quantity being explained,Δ((GGXCNL/NGDP)) from base year; the decomposition target — components above sum to this exactly (V26)
DEU,Germany,forecast,maximum_extension,2025-04,2024,2030,balance,weo_internal_wedge,,2.886579864025407e-15,"pp of GDP, change since the base year",WEO-internal inconsistency between GGR-GGX and GGXCNL at that horizon,GGXCNL change minus (GGR change - GGX change) inside the WEO tables; rounding only
DEU,Germany,forecast,maximum_extension,2025-04,2024,2030,expenditure,covered_line,GF07,-0.004390564353316806,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2030,expenditure,covered_line,GF09,-0.05858605050893251,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2030,expenditure,covered_line,GF10,-1.3566347971933705,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2030,expenditure,denom_effect,,-0.06528536259525919,"pp of GDP, change since the base year",effect of the GDP denominator path on the ratio,"covered contributions on the lines' own source GDP paths minus the WEO NGDP version (§8.3; reported, never absorbed)"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2030,expenditure,resid_total,,-1.056059008551713,"pp of GDP, change since the base year","coverage + disagreement, where the two cannot be split","no independent official total at this horizon (AMECO envelope ends 2027; GBR has no level at the base year, OQ-4) — coverage and disagreement residuals collapse (§8.3)"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2030,revenue,covered_line,R01,0.11615299538407925,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2030,revenue,covered_line,R03,0.7095922387550746,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2030,revenue,covered_line,R04,-0.4797535105955913,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-04,2024,2030,revenue,denom_effect,,0.17444886869148984,"pp of GDP, change since the base year",effect of the GDP denominator path on the ratio,"covered contributions on the lines' own source GDP paths minus the WEO NGDP version (§8.3; reported, never absorbed)"
DEU,Germany,forecast,maximum_extension,2025-04,2024,2030,revenue,resid_total,,0.37073177712539107,"pp of GDP, change since the base year","coverage + disagreement, where the two cannot be split","no independent official total at this horizon (AMECO envelope ends 2027; GBR has no level at the base year, OQ-4) — coverage and disagreement residuals collapse (§8.3)"
DEU,Germany,forecast,maximum_extension,2025-10,2024,2025,balance,covered_total,,0.3779700376757793,"pp of GDP, change since the base year",sum of the covered-line contributions on that side,sum of signed covered-line contributions — what the granular official forecasts explain of the WEO change
DEU,Germany,forecast,maximum_extension,2025-10,2024,2025,balance,explained_share,,2.684678767981106,share (0-1),covered contributions as a share of the WEO change (1.0 = fully explained by official granular forecasts),"covered_total / weo_change (a ratio, not pp): the Gate 5 headline number"
DEU,Germany,forecast,maximum_extension,2025-10,2024,2025,balance,weo_change,,0.14078780753349307,"pp of GDP, change since the base year",the WEO's own change in NLB/GDP over the same span — the quantity being explained,Δ((GGXCNL/NGDP)) from base year; the decomposition target — components above sum to this exactly (V26)
DEU,Germany,forecast,maximum_extension,2025-10,2024,2025,balance,weo_internal_wedge,,5.218048215738236e-15,"pp of GDP, change since the base year",WEO-internal inconsistency between GGR-GGX and GGXCNL at that horizon,GGXCNL change minus (GGR change - GGX change) inside the WEO tables; rounding only
DEU,Germany,forecast,maximum_extension,2025-10,2024,2025,expenditure,covered_line,GF01,-0.3491553454869886,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-10,2024,2025,expenditure,covered_line,GF07,-0.07187048688211961,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-10,2024,2025,expenditure,covered_line,GF09,-0.03755934351735157,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
DEU,Germany,forecast,maximum_extension,2025-10,2024,2025,expenditure,covered_line,GF10,-0.617044740739503,"pp of GDP, change since the base year",one published forecast line's contribution to the change in NLB/GDP from the base year,
