file,column,description
expenditure_esa.csv,notes,The concept caveat recorded with the observation at build time.
revenue_esa.csv,iso3,"Country (GBR, FRA, DEU)."
revenue_esa.csv,country,"Country name, for readability."
revenue_esa.csv,variant,"strict = official published sources only; maximum_extension = strict plus proxy, composite and partial-coverage legs, each with a declared residual assumption. maximum_extension always contains strict and equals it wherever both exist; it adds years at either end — a longer backward leg as well as a longer forecast. Pick one; never mix them in a series."
revenue_esa.csv,classification,"Which tree the line belongs to: COFOG (expenditure by function), ESA_EXP (expenditure by ESA economic type) or ESA_REV (revenue by ESA type). COFOG and ESA_EXP are two cuts of the same total expenditure — never add lines across them."
revenue_esa.csv,line_code,"Series code. COFOG: GF01-GF10 (Level I); Level II splits GF01_7 interest (remainder GF01_X), GF10_2 old age i.e. pensions and GF10_5 unemployment (remainder GF10_X), GF04_5 transport (remainder GF04_X); TE (total expenditure). ESA revenue: R01-R10 with the Level II splits R02_A excise duties (remainder R02_X) and R06_E employers' / R06_H households' actual social contributions (remainder R06_X, the imputed and supplementary part); TR (total revenue). ESA economic expenditure: E01 compensation of employees, E02 intermediate consumption, E03 social benefits in cash (D.62), E04 social transfers in kind purchased (D.632), E05 interest, E06 subsidies, E07 other current, E08 capital formation, E09 capital transfers, TE_ESA (their total). A remainder plus its Level II lines equals the parent exactly; remainders are never forecast."
revenue_esa.csv,line_label,Human-readable name of the line.
revenue_esa.csv,line_level,"1 = COFOG Level I / ESA line; 2 = COFOG Level II; derived = identity; total = TE, TE_ESA or TR."
revenue_esa.csv,year,Calendar year. Sources on a fiscal year are converted first (§7.10) and flagged in derivation.
revenue_esa.csv,basis,actual = outturn (or an outturn-based backward stitch); forecast = projection.
revenue_esa.csv,value_lcu_mn,"Value in millions of national currency, current prices, general government, consolidated."
revenue_esa.csv,currency,"GBP for GBR, EUR for FRA and DEU."
revenue_esa.csv,pct_gdp,value_lcu_mn as a percentage of that country-year's GDP (gdp_lcu_mn).
revenue_esa.csv,pct_total,"value_lcu_mn as a percentage of the same year's total (TE for COFOG lines, TE_ESA for ESA economic lines, TR for revenue lines)."
revenue_esa.csv,gdp_lcu_mn,"GDP at current market prices, same currency and year, from the country's registered GDP source."
revenue_esa.csv,observation_type,anchor_actual | derived_actual | level2_proxy_actual | stitched_actual | direct_forecast | proxy_forecast | composite_forecast.
revenue_esa.csv,quality_grade,A = the anchor's own published value; B = a conceptually equivalent official series; C = an official series covering only part of the line; D = a proxy with a declared residual assumption.
revenue_esa.csv,source_id,Publisher of the value (or of the growth applied).
revenue_esa.csv,anchor_source,Publisher of the anchor the chain runs from.
revenue_esa.csv,anchor_year,Year of that anchor.
revenue_esa.csv,anchor_value,"Value of that anchor, in value_lcu_mn units. It is itself a row of this file."
revenue_esa.csv,growth_source_id,Publisher of the growth factor applied (blank on anchor rows).
revenue_esa.csv,growth_rate,"Growth factor applied at this year. Reproduce the value as value(year) = value(neighbour) * growth_rate, where neighbour is year+1 when year < anchor_year and year-1 otherwise."
revenue_esa.csv,residual_method,Declared treatment of the part of the line the growth source does not cover (maximum_extension only).
revenue_esa.csv,coverage_share,"Measured share of the line the growth source covers, at coverage_share_year, on overlapping data. This is measured, not assumed."
revenue_esa.csv,crosswalk_version,Version of the source-to-line mapping used (files in crosswalks/).
revenue_esa.csv,derivation,Plain-language statement of the exact arithmetic behind the row.
revenue_esa.csv,notes,The concept caveat recorded with the observation at build time.
balance_ledger.csv,iso3,"Country (GBR, FRA, DEU)."
balance_ledger.csv,country,"Country name, for readability."
balance_ledger.csv,variant,"strict = official published sources only; maximum_extension = strict plus proxy, composite and partial-coverage legs, each with a declared residual assumption. maximum_extension always contains strict and equals it wherever both exist; it adds years at either end — a longer backward leg as well as a longer forecast. Pick one; never mix them in a series."
balance_ledger.csv,year,Calendar year. Sources on a fiscal year are converted first (§7.10) and flagged in derivation.
balance_ledger.csv,basis,actual = outturn (or an outturn-based backward stitch); forecast = projection.
balance_ledger.csv,currency,"GBP for GBR, EUR for FRA and DEU."
balance_ledger.csv,tr_lcu_mn,"Total revenue, as published by the balance anchor."
balance_ledger.csv,te_lcu_mn,"Total expenditure, as published by the balance anchor."
balance_ledger.csv,nlb_lcu_mn,Net lending (+) / net borrowing (-) = TR - TE (ESA B.9).
balance_ledger.csv,ni_lcu_mn,"Net interest = GF01_7 (interest payable) - R07 (interest receivable), from the two trees."
balance_ledger.csv,pb_lcu_mn,Primary balance = NLB + NI.
balance_ledger.csv,b9_anchor_lcu_mn,"The anchor's own published B.9, for cross-check against nlb_lcu_mn."
balance_ledger.csv,gdp_lcu_mn,GDP at current market prices.
balance_ledger.csv,tr_pct_gdp,TR as a percentage of GDP.
balance_ledger.csv,te_pct_gdp,TE as a percentage of GDP.
balance_ledger.csv,nlb_pct_gdp,NLB as a percentage of GDP.
balance_ledger.csv,ni_pct_gdp,NI as a percentage of GDP.
balance_ledger.csv,pb_pct_gdp,PB as a percentage of GDP.
balance_ledger.csv,identity_check_lcu_mn,TR - TE - NLB. Zero by construction; published so the identity is checkable.
balance_ledger.csv,complete_both_sides,"True when both interest legs exist, so NI and PB are defined."
balance_ledger.csv,source_id,"Publisher of TR, TE and B.9."
balance_ledger.csv,derivation,Plain-language statement of the exact arithmetic behind the row.
weo_levels_bridge.csv,iso3,"Country (GBR, FRA, DEU)."
weo_levels_bridge.csv,country,"Country name, for readability."
weo_levels_bridge.csv,year,Calendar year. Sources on a fiscal year are converted first (§7.10) and flagged in derivation.
weo_levels_bridge.csv,block,"history = overlap years, our ledger vs the WEO aggregates (§8.2); forecast_horizon = the net-interest cross-check at projection horizons (§8.4)."
weo_levels_bridge.csv,variant,both on history rows (the ledger is variant-independent over history); strict / maximum_extension on forecast rows.
weo_levels_bridge.csv,weo_vintage,WEO edition the comparison uses (e.g. 2026-04).
weo_levels_bridge.csv,base_year,Last year the WEO reports as an outturn for that country and vintage — the year the forecast decomposition starts from.
weo_levels_bridge.csv,is_base_year,True on that base year.
weo_levels_bridge.csv,tr_ours_mn,Our total revenue.
weo_levels_bridge.csv,tr_weo_mn,"WEO general-government revenue, GGR."
weo_levels_bridge.csv,gap_tr_mn,tr_ours_mn - tr_weo_mn.
weo_levels_bridge.csv,te_ours_mn,Our total expenditure.
weo_levels_bridge.csv,te_weo_mn,"WEO general-government expenditure, GGX."
weo_levels_bridge.csv,gap_te_mn,te_ours_mn - te_weo_mn.
weo_levels_bridge.csv,nlb_ours_mn,Our net lending/borrowing.
weo_levels_bridge.csv,nlb_weo_mn,"WEO net lending/borrowing, GGXCNL."
weo_levels_bridge.csv,gap_nlb_mn,nlb_ours_mn - nlb_weo_mn.
weo_levels_bridge.csv,ni_ours_mn,Our net interest (GF01_7 - R07); blank where a leg has no value at that horizon.
weo_levels_bridge.csv,ni_weo_mn,"WEO net interest, GGXCNL - GGXONLB."
weo_levels_bridge.csv,gap_ni_mn,ni_ours_mn - ni_weo_mn.
weo_levels_bridge.csv,gdp_ours_mn,GDP from the country's registered source.
weo_levels_bridge.csv,gdp_weo_mn,"WEO nominal GDP, NGDP."
weo_levels_bridge.csv,gap_gdp_mn,gdp_ours_mn - gdp_weo_mn.
weo_levels_bridge.csv,gap_tr_pct_te,gap_tr_mn as a percentage of our TE.
weo_levels_bridge.csv,gap_te_pct_te,gap_te_mn as a percentage of our TE.
weo_levels_bridge.csv,gap_nlb_pct_te,gap_nlb_mn as a percentage of our TE.
weo_levels_bridge.csv,gap_gdp_pct_gdp,gap_gdp_mn as a percentage of our GDP.
weo_levels_bridge.csv,gf01_7_mn,Interest payable behind ni_ours_mn (forecast rows).
weo_levels_bridge.csv,r07_mn,Interest receivable behind ni_ours_mn (forecast rows).
weo_levels_bridge.csv,gap_classification,"perimeter = a stable definitional difference; revision = a vintage difference; unexplained = neither, and flagged for review."
weo_levels_bridge.csv,derivation,Plain-language statement of the exact arithmetic behind the row.
weo_levels_bridge.csv,notes,The concept caveat recorded with the observation at build time.
weo_reconciliation.csv,iso3,"Country (GBR, FRA, DEU)."
weo_reconciliation.csv,country,"Country name, for readability."
weo_reconciliation.csv,variant,"strict = official published sources only; maximum_extension = strict plus proxy, composite and partial-coverage legs, each with a declared residual assumption. maximum_extension always contains strict and equals it wherever both exist; it adds years at either end — a longer backward leg as well as a longer forecast. Pick one; never mix them in a series."
weo_reconciliation.csv,year,Calendar year. Sources on a fiscal year are converted first (§7.10) and flagged in derivation.
weo_reconciliation.csv,line_code,"Series code. COFOG: GF01-GF10 (Level I); Level II splits GF01_7 interest (remainder GF01_X), GF10_2 old age i.e. pensions and GF10_5 unemployment (remainder GF10_X), GF04_5 transport (remainder GF04_X); TE (total expenditure). ESA revenue: R01-R10 with the Level II splits R02_A excise duties (remainder R02_X) and R06_E employers' / R06_H households' actual social contributions (remainder R06_X, the imputed and supplementary part); TR (total revenue). ESA economic expenditure: E01 compensation of employees, E02 intermediate consumption, E03 social benefits in cash (D.62), E04 social transfers in kind purchased (D.632), E05 interest, E06 subsidies, E07 other current, E08 capital formation, E09 capital transfers, TE_ESA (their total). A remainder plus its Level II lines equals the parent exactly; remainders are never forecast."
weo_reconciliation.csv,notes,The concept caveat recorded with the observation at build time.
weo_reconciliation.csv,block,history = year-on-year decomposition of our own realised change in NLB/GDP; forecast = decomposition of the WEO's projected change from base_year to year.
weo_reconciliation.csv,weo_vintage,WEO edition (forecast rows only).
weo_reconciliation.csv,base_year,Year the change is measured from (previous year on history rows; the WEO base year on forecast rows).
weo_reconciliation.csv,side,revenue | expenditure | balance | total | memo.
weo_reconciliation.csv,component,"What the row is: covered_line for a published line, or one of the reconciliation components named in component_meaning."
weo_reconciliation.csv,contribution_pp,"Contribution in percentage points of GDP, signed so that contributions sum to the change in NLB/GDP. Units differ for explained_share and the growth components — see measure."
weo_reconciliation.csv,measure,Unit of contribution_pp on that row.
weo_reconciliation.csv,component_meaning,Plain-language meaning of component.
series_catalogue.csv,iso3,"Country (GBR, FRA, DEU)."
series_catalogue.csv,country,"Country name, for readability."
series_catalogue.csv,line_code,"Series code. COFOG: GF01-GF10 (Level I); Level II splits GF01_7 interest (remainder GF01_X), GF10_2 old age i.e. pensions and GF10_5 unemployment (remainder GF10_X), GF04_5 transport (remainder GF04_X); TE (total expenditure). ESA revenue: R01-R10 with the Level II splits R02_A excise duties (remainder R02_X) and R06_E employers' / R06_H households' actual social contributions (remainder R06_X, the imputed and supplementary part); TR (total revenue). ESA economic expenditure: E01 compensation of employees, E02 intermediate consumption, E03 social benefits in cash (D.62), E04 social transfers in kind purchased (D.632), E05 interest, E06 subsidies, E07 other current, E08 capital formation, E09 capital transfers, TE_ESA (their total). A remainder plus its Level II lines equals the parent exactly; remainders are never forecast."
series_catalogue.csv,line_label,Human-readable name of the line.
series_catalogue.csv,line_level,"1 = COFOG Level I / ESA line; 2 = COFOG Level II; derived = identity; total = TE, TE_ESA or TR."
series_catalogue.csv,currency,"GBP for GBR, EUR for FRA and DEU."
series_catalogue.csv,classification,"Which tree the line belongs to: COFOG (expenditure by function), ESA_EXP (expenditure by ESA economic type) or ESA_REV (revenue by ESA type). COFOG and ESA_EXP are two cuts of the same total expenditure — never add lines across them."
series_catalogue.csv,first_year,First year published for the series.
series_catalogue.csv,final_actual_year,Last outturn year.
series_catalogue.csv,final_strict_year,Last year of the strict variant.
series_catalogue.csv,final_maximum_year,Last year of the maximum_extension variant.
series_catalogue.csv,n_observations_strict,Row count of the strict variant.
series_catalogue.csv,n_observations_maximum,Row count of the maximum_extension variant.
series_catalogue.csv,grades,Distinct quality grades appearing in the series.
series_catalogue.csv,sources,Every source_id appearing in the series.
series_catalogue.csv,recipe_strict,"Ordered construction segments of the strict variant: year span, how the segment was made, source, grade."
series_catalogue.csv,recipe_maximum_extension,The same for maximum_extension.
series_catalogue.csv,stitch_count,Number of stitch boundaries in the series.
series_catalogue.csv,principal_sources,Sources named in the coverage matrix.
series_catalogue.csv,residual_method,Residual assumption where the series carries one.
series_catalogue.csv,reason_series_ends,Why the series stops where it does.
series_catalogue.csv,forecast_status,Recorded status when no strict forecast exists.
series_catalogue.csv,forecast_note,"Why, in words."
statistical_forecasts.csv,iso3,"Country (GBR, FRA, DEU)."
statistical_forecasts.csv,country,"Country name, for readability."
statistical_forecasts.csv,line_code,"Series code. COFOG: GF01-GF10 (Level I); Level II splits GF01_7 interest (remainder GF01_X), GF10_2 old age i.e. pensions and GF10_5 unemployment (remainder GF10_X), GF04_5 transport (remainder GF04_X); TE (total expenditure). ESA revenue: R01-R10 with the Level II splits R02_A excise duties (remainder R02_X) and R06_E employers' / R06_H households' actual social contributions (remainder R06_X, the imputed and supplementary part); TR (total revenue). ESA economic expenditure: E01 compensation of employees, E02 intermediate consumption, E03 social benefits in cash (D.62), E04 social transfers in kind purchased (D.632), E05 interest, E06 subsidies, E07 other current, E08 capital formation, E09 capital transfers, TE_ESA (their total). A remainder plus its Level II lines equals the parent exactly; remainders are never forecast."
statistical_forecasts.csv,line_label,Human-readable name of the line.
statistical_forecasts.csv,year,Calendar year. Sources on a fiscal year are converted first (§7.10) and flagged in derivation.
statistical_forecasts.csv,classification,"Which tree the line belongs to: COFOG (expenditure by function), ESA_EXP (expenditure by ESA economic type) or ESA_REV (revenue by ESA type). COFOG and ESA_EXP are two cuts of the same total expenditure — never add lines across them."
statistical_forecasts.csv,method,auto.arima | ets | prophet | uc | combination. The first four are standard univariate methods fitted to the line's own history; combination is their mean.
statistical_forecasts.csv,pct_gdp,"Point forecast, as a percentage of GDP."
statistical_forecasts.csv,se,"Standard error of the point forecast, from the method itself. For combination it carries both the average within-model variance and the variance across the four point forecasts."
statistical_forecasts.csv,lo80,pct_gdp - 1.2816 * se.
statistical_forecasts.csv,hi80,pct_gdp + 1.2816 * se.
statistical_forecasts.csv,lo95,pct_gdp - 1.9600 * se.
statistical_forecasts.csv,hi95,pct_gdp + 1.9600 * se.
statistical_forecasts.csv,model,"The specification the method selected, e.g. ARIMA(0, 1, 2)+drift or ETS(A,Ad,N)."
statistical_forecasts.csv,fit_first_year,First year of the estimation sample.
statistical_forecasts.csv,fit_last_year,"Last year of the estimation sample — the last OUTTURN, never the last official forecast, so a line's official projection can be read against the model on the same axes."
statistical_forecasts.csv,n_obs,Number of outturn observations fitted.
statistical_forecasts.csv,run_id,Run that produced the forecasts.
forecast_levels.csv,iso3,"Country (GBR, FRA, DEU)."
forecast_levels.csv,country,"Country name, for readability."
forecast_levels.csv,line_code,"Series code. COFOG: GF01-GF10 (Level I); Level II splits GF01_7 interest (remainder GF01_X), GF10_2 old age i.e. pensions and GF10_5 unemployment (remainder GF10_X), GF04_5 transport (remainder GF04_X); TE (total expenditure). ESA revenue: R01-R10 with the Level II splits R02_A excise duties (remainder R02_X) and R06_E employers' / R06_H households' actual social contributions (remainder R06_X, the imputed and supplementary part); TR (total revenue). ESA economic expenditure: E01 compensation of employees, E02 intermediate consumption, E03 social benefits in cash (D.62), E04 social transfers in kind purchased (D.632), E05 interest, E06 subsidies, E07 other current, E08 capital formation, E09 capital transfers, TE_ESA (their total). A remainder plus its Level II lines equals the parent exactly; remainders are never forecast."
forecast_levels.csv,line_label,Human-readable name of the line.
forecast_levels.csv,year,Calendar year. Sources on a fiscal year are converted first (§7.10) and flagged in derivation.
forecast_levels.csv,currency,"GBP for GBR, EUR for FRA and DEU."
forecast_levels.csv,notes,The concept caveat recorded with the observation at build time.
forecast_levels.csv,classification,COFOG or ESA_REV.
forecast_levels.csv,method,"auto.arima | ets | prophet | uc | combination — the same five as statistical_forecasts.csv, of which this file is the currency twin."
forecast_levels.csv,pct_gdp,"The forecast share of GDP, copied unchanged from statistical_forecasts.csv."
forecast_levels.csv,gdp_lcu_mn,"Nominal GDP on the path named by gdp_basis, millions of national currency."
forecast_levels.csv,value_lcu_mn,pct_gdp / 100 * gdp_lcu_mn.
forecast_levels.csv,lo80_lcu_mn,"lo80 / 100 * gdp_lcu_mn. The GDP path is taken as given, so this is the RATIO's interval in currency and carries no uncertainty about GDP itself."
forecast_levels.csv,hi80_lcu_mn,"hi80 / 100 * gdp_lcu_mn, on the same footing."
forecast_levels.csv,lo95_lcu_mn,"lo95 / 100 * gdp_lcu_mn, on the same footing."
forecast_levels.csv,hi95_lcu_mn,"hi95 / 100 * gdp_lcu_mn, on the same footing."
forecast_levels.csv,gdp_basis,"How the GDP path was built. anchored_outturn_chained_on_weo_ngdp = the tree's own outturn GDP to gdp_anchor_year, then chained on the growth of the named WEO series — never the WEO level itself, which sits up to 1% off our anchor and would step every forecast level at the join."
forecast_levels.csv,gdp_anchor_year,"Last year every line's GDP denominator agrees; the year the chain starts from. At the last outturn the denominator forks by source, so the anchor is a year earlier."
forecast_levels.csv,gdp_anchor_lcu_mn,GDP at gdp_anchor_year.
forecast_levels.csv,gdp_growth_source,Source of the growth rates after the anchor.
forecast_levels.csv,gdp_growth_vintage,That source's vintage.
forecast_levels.csv,run_id,Run that produced the levels.
benchmark_balance.csv,iso3,"Country (GBR, FRA, DEU)."
benchmark_balance.csv,country,"Country name, for readability."
benchmark_balance.csv,year,Calendar year. Sources on a fiscal year are converted first (§7.10) and flagged in derivation.
benchmark_balance.csv,line_code,"Series code. COFOG: GF01-GF10 (Level I); Level II splits GF01_7 interest (remainder GF01_X), GF10_2 old age i.e. pensions and GF10_5 unemployment (remainder GF10_X), GF04_5 transport (remainder GF04_X); TE (total expenditure). ESA revenue: R01-R10 with the Level II splits R02_A excise duties (remainder R02_X) and R06_E employers' / R06_H households' actual social contributions (remainder R06_X, the imputed and supplementary part); TR (total revenue). ESA economic expenditure: E01 compensation of employees, E02 intermediate consumption, E03 social benefits in cash (D.62), E04 social transfers in kind purchased (D.632), E05 interest, E06 subsidies, E07 other current, E08 capital formation, E09 capital transfers, TE_ESA (their total). A remainder plus its Level II lines equals the parent exactly; remainders are never forecast."
benchmark_balance.csv,line_label,Human-readable name of the line.
benchmark_balance.csv,notes,The concept caveat recorded with the observation at build time.
benchmark_balance.csv,base_year,"Year the path starts from: the latest year in which EVERY line has an outturn, which the expenditure tree sets a year before the revenue tree."
benchmark_balance.csv,horizon,year - base_year.
benchmark_balance.csv,kind,line = one granular line; expenditure_total / revenue_total = the sum of that side's lines; balance = the benchmark NLB/GDP path itself.
benchmark_balance.csv,side,revenue | expenditure | balance.
benchmark_balance.csv,anchor_year,Last outturn year of that line (base_year on the aggregate rows).
benchmark_balance.csv,anchor_pct_gdp,"The line's value at base_year; on a balance row, the ledger's own NLB/GDP at base_year."
benchmark_balance.csv,pct_gdp,"Level at year, as a percentage of GDP."
benchmark_balance.csv,contribution_pp,"Change since base_year in percentage points of GDP, signed so the line rows sum to the balance row's own change: positive for revenue, negative for expenditure."
benchmark_balance.csv,se,"Standard error. On a line row, the line's own published standard error, zero where the path is an official projection or still an outturn. On a balance row, those propagated under rho_within and rho_between."
benchmark_balance.csv,lo80,pct_gdp - 1.2816 * se (balance rows).
benchmark_balance.csv,hi80,pct_gdp + 1.2816 * se (balance rows).
benchmark_balance.csv,lo95,pct_gdp - 1.9600 * se (balance rows).
benchmark_balance.csv,hi95,pct_gdp + 1.9600 * se (balance rows).
benchmark_balance.csv,source,"outturn | official | statistical on a line row; benchmark on a balance row. An official projection is used only where it covers the whole horizon, so this need not match the source the chartbook panel shows for the same line."
benchmark_balance.csv,source_runs_to,Last year that line's chosen source reaches.
benchmark_balance.csv,rho_within,"Average pairwise correlation of the lines' h-year changes in ratio within a side, estimated from the outturn history."
benchmark_balance.csv,rho_between,"The same across the two sides. It enters the balance variance with a minus sign, so a positive value narrows the interval."
benchmark_balance.csv,n_corr_obs,Overlapping h-year changes behind those estimates.
benchmark_balance.csv,history_sd_pp,"Standard deviation of h-year moves in the ledger's own NLB/GDP over the whole outturn record. A calibration reference, not an interval, and never used to build one."
benchmark_balance.csv,n_history_obs,Overlapping h-year moves behind history_sd_pp.
benchmark_balance.csv,n_official,"Lines on an official path, which contribute no variance to the interval."
benchmark_balance.csv,n_statistical,Lines on a statistical path.
benchmark_balance.csv,run_id,Run that produced the balance.
benchmark_vs_weo.csv,iso3,"Country (GBR, FRA, DEU)."
benchmark_vs_weo.csv,country,"Country name, for readability."
benchmark_vs_weo.csv,year,Calendar year. Sources on a fiscal year are converted first (§7.10) and flagged in derivation.
benchmark_vs_weo.csv,notes,The concept caveat recorded with the observation at build time.
benchmark_vs_weo.csv,weo_vintage,WEO edition compared against.
benchmark_vs_weo.csv,base_year,Year the changes are measured from — the benchmark balance's own base.
benchmark_vs_weo.csv,horizon,year - base_year.
benchmark_vs_weo.csv,kind,balance | revenue | expenditure | weo_internal_wedge.
benchmark_vs_weo.csv,side,balance | revenue | expenditure | memo.
benchmark_vs_weo.csv,ours_pct_gdp,Our benchmark level as a percentage of GDP.
benchmark_vs_weo.csv,weo_pct_gdp,"The WEO's own GGXCNL, GGR or GGX over its NGDP."
benchmark_vs_weo.csv,level_gap_pp,"ours_pct_gdp - weo_pct_gdp. On a side row this carries the perimeter difference; compare changes, not levels, where perimeter_gap_pp is large."
