iso3,series_variant,weo_vintage,source_vintage_set_hash,base_year,horizon_year,ni_weo_mn,gf01_7_mn,r07_mn,ni_ours_mn,gap_mn,notes
DEU,maximum_extension,2026-04,9b805ef685ff,2025,2031,82112.163,,,,,"neither interest line has a value at 2031 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
GBR,strict,2025-10,9b805ef685ff,2024,2025,75394.0,98889.79636087423,16278.0,82611.79636087423,7217.796360874228,gap contributes to resid_disagreement (§8.4)
GBR,strict,2025-10,9b805ef685ff,2024,2026,81691.0,103834.28617891794,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
GBR,strict,2025-10,9b805ef685ff,2024,2027,88125.0,106949.31093268424,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
GBR,strict,2025-10,9b805ef685ff,2024,2028,95419.0,,,,,"neither interest line has a value at 2028 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
GBR,strict,2025-10,9b805ef685ff,2024,2029,102627.0,,,,,"neither interest line has a value at 2029 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
GBR,strict,2025-10,9b805ef685ff,2024,2030,104015.0,,,,,"neither interest line has a value at 2030 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
GBR,maximum_extension,2025-10,9b805ef685ff,2024,2025,75394.0,98889.79636087423,16278.0,82611.79636087423,7217.796360874228,gap contributes to resid_disagreement (§8.4)
GBR,maximum_extension,2025-10,9b805ef685ff,2024,2026,81691.0,103834.28617891794,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
GBR,maximum_extension,2025-10,9b805ef685ff,2024,2027,88125.0,106949.31093268424,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
GBR,maximum_extension,2025-10,9b805ef685ff,2024,2028,95419.0,,,,,"neither interest line has a value at 2028 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
GBR,maximum_extension,2025-10,9b805ef685ff,2024,2029,102627.0,,,,,"neither interest line has a value at 2029 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
GBR,maximum_extension,2025-10,9b805ef685ff,2024,2030,104015.0,,,,,"neither interest line has a value at 2030 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
FRA,strict,2025-10,9b805ef685ff,2024,2025,60912.0,65238.81665133901,3923.8,61315.01665133901,403.0166513390068,gap contributes to resid_disagreement (§8.4)
FRA,strict,2025-10,9b805ef685ff,2024,2026,68723.0,77662.93527647184,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
FRA,strict,2025-10,9b805ef685ff,2024,2027,80452.0,86323.61755014477,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
FRA,strict,2025-10,9b805ef685ff,2024,2028,91627.0,,,,,"neither interest line has a value at 2028 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
FRA,strict,2025-10,9b805ef685ff,2024,2029,102162.0,,,,,"neither interest line has a value at 2029 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
FRA,strict,2025-10,9b805ef685ff,2024,2030,117659.0,,,,,"neither interest line has a value at 2030 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2025,60912.0,65238.81665133901,3923.8,61315.01665133901,403.0166513390068,gap contributes to resid_disagreement (§8.4)
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2026,68723.0,77662.93527647184,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2027,80452.0,86323.61755014477,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2028,91627.0,,,,,"neither interest line has a value at 2028 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2029,102162.0,,,,,"neither interest line has a value at 2029 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
FRA,maximum_extension,2025-10,9b805ef685ff,2024,2030,117659.0,,,,,"neither interest line has a value at 2030 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
DEU,strict,2025-10,9b805ef685ff,2024,2025,40570.0,53275.90817840622,17675.0,35600.90817840622,-4969.091821593778,gap contributes to resid_disagreement (§8.4)
DEU,strict,2025-10,9b805ef685ff,2024,2026,43966.0,57378.15525879376,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
DEU,strict,2025-10,9b805ef685ff,2024,2027,52290.0,61977.95527625034,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
DEU,strict,2025-10,9b805ef685ff,2024,2028,61460.0,,,,,"neither interest line has a value at 2028 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
DEU,strict,2025-10,9b805ef685ff,2024,2029,71536.0,,,,,"neither interest line has a value at 2029 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
DEU,strict,2025-10,9b805ef685ff,2024,2030,83422.0,,,,,"neither interest line has a value at 2030 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2025,40570.0,53275.90817840622,17675.0,35600.90817840622,-4969.091821593778,gap contributes to resid_disagreement (§8.4)
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2026,43966.0,57378.15525879376,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2027,52290.0,61977.95527625034,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2028,61460.0,,,,,"neither interest line has a value at 2028 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2029,71536.0,,,,,"neither interest line has a value at 2029 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
DEU,maximum_extension,2025-10,9b805ef685ff,2024,2030,83422.0,,,,,"neither interest line has a value at 2030 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
GBR,strict,2025-04,9b805ef685ff,2024,2025,75394.0,98889.79636087423,16278.0,82611.79636087423,7217.796360874228,gap contributes to resid_disagreement (§8.4)
GBR,strict,2025-04,9b805ef685ff,2024,2026,81692.0,103834.28617891794,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
GBR,strict,2025-04,9b805ef685ff,2024,2027,88124.0,106949.31093268424,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
GBR,strict,2025-04,9b805ef685ff,2024,2028,95419.0,,,,,"neither interest line has a value at 2028 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
GBR,strict,2025-04,9b805ef685ff,2024,2029,102627.0,,,,,"neither interest line has a value at 2029 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
GBR,strict,2025-04,9b805ef685ff,2024,2030,104003.0,,,,,"neither interest line has a value at 2030 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
GBR,maximum_extension,2025-04,9b805ef685ff,2024,2025,75394.0,98889.79636087423,16278.0,82611.79636087423,7217.796360874228,gap contributes to resid_disagreement (§8.4)
GBR,maximum_extension,2025-04,9b805ef685ff,2024,2026,81692.0,103834.28617891794,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
GBR,maximum_extension,2025-04,9b805ef685ff,2024,2027,88124.0,106949.31093268424,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
GBR,maximum_extension,2025-04,9b805ef685ff,2024,2028,95419.0,,,,,"neither interest line has a value at 2028 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
GBR,maximum_extension,2025-04,9b805ef685ff,2024,2029,102627.0,,,,,"neither interest line has a value at 2029 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
GBR,maximum_extension,2025-04,9b805ef685ff,2024,2030,104003.0,,,,,"neither interest line has a value at 2030 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
FRA,strict,2025-04,9b805ef685ff,2023,2024,53991.0,58870.2,5380.8,53489.399999999994,-501.6000000000058,gap contributes to resid_disagreement (§8.4)
FRA,strict,2025-04,9b805ef685ff,2023,2025,61641.0,65238.81665133901,3923.8,61315.01665133901,-325.9833486609932,gap contributes to resid_disagreement (§8.4)
FRA,strict,2025-04,9b805ef685ff,2023,2026,69285.0,77662.93527647184,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
FRA,strict,2025-04,9b805ef685ff,2023,2027,81236.0,86323.61755014477,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
FRA,strict,2025-04,9b805ef685ff,2023,2028,92326.0,,,,,"neither interest line has a value at 2028 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
FRA,strict,2025-04,9b805ef685ff,2023,2029,102694.0,,,,,"neither interest line has a value at 2029 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
FRA,strict,2025-04,9b805ef685ff,2023,2030,117678.0,,,,,"neither interest line has a value at 2030 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
FRA,maximum_extension,2025-04,9b805ef685ff,2023,2024,53991.0,58870.2,5380.8,53489.399999999994,-501.6000000000058,gap contributes to resid_disagreement (§8.4)
FRA,maximum_extension,2025-04,9b805ef685ff,2023,2025,61641.0,65238.81665133901,3923.8,61315.01665133901,-325.9833486609932,gap contributes to resid_disagreement (§8.4)
FRA,maximum_extension,2025-04,9b805ef685ff,2023,2026,69285.0,77662.93527647184,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
FRA,maximum_extension,2025-04,9b805ef685ff,2023,2027,81236.0,86323.61755014477,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
FRA,maximum_extension,2025-04,9b805ef685ff,2023,2028,92326.0,,,,,"neither interest line has a value at 2028 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
FRA,maximum_extension,2025-04,9b805ef685ff,2023,2029,102694.0,,,,,"neither interest line has a value at 2029 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
FRA,maximum_extension,2025-04,9b805ef685ff,2023,2030,117678.0,,,,,"neither interest line has a value at 2030 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
DEU,strict,2025-04,9b805ef685ff,2024,2025,36221.0,53275.90817840622,17675.0,35600.90817840622,-620.0918215937781,gap contributes to resid_disagreement (§8.4)
DEU,strict,2025-04,9b805ef685ff,2024,2026,44359.0,57378.15525879376,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
DEU,strict,2025-04,9b805ef685ff,2024,2027,52795.0,61977.95527625034,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
DEU,strict,2025-04,9b805ef685ff,2024,2028,61831.0,,,,,"neither interest line has a value at 2028 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
DEU,strict,2025-04,9b805ef685ff,2024,2029,71970.0,,,,,"neither interest line has a value at 2029 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
DEU,strict,2025-04,9b805ef685ff,2024,2030,84430.0,,,,,"neither interest line has a value at 2030 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
DEU,maximum_extension,2025-04,9b805ef685ff,2024,2025,36221.0,53275.90817840622,17675.0,35600.90817840622,-620.0918215937781,gap contributes to resid_disagreement (§8.4)
DEU,maximum_extension,2025-04,9b805ef685ff,2024,2026,44359.0,57378.15525879376,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
DEU,maximum_extension,2025-04,9b805ef685ff,2024,2027,52795.0,61977.95527625034,,,,"R07 has no forecast anywhere (declared, forecast_declarations.csv; OQ-6): NI_ours not computable — gross GF01_7 reported alone; the receivable-side hole sits in the revenue coverage residual"
DEU,maximum_extension,2025-04,9b805ef685ff,2024,2028,61831.0,,,,,"neither interest line has a value at 2028 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
DEU,maximum_extension,2025-04,9b805ef685ff,2024,2029,71970.0,,,,,"neither interest line has a value at 2029 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
DEU,maximum_extension,2025-04,9b805ef685ff,2024,2030,84430.0,,,,,"neither interest line has a value at 2030 (GF01_7 horizon 2027, OQ-7 withheld DSM leg; R07 declared) — WEO NI reported alone"
