iso3,classification,line_code,boundary_year,outgoing_source,incoming_source,anchor_value_lcu_mn,growth_applied,scope,break_flag,grade,crosswalk_version,coverage_share,coverage_share_year,variants
DEU,ESA_REV,R01,1995,anchor,OECD_RS,120216.0,1.0045860996507479,"OECD 5111 VAT: OECD Revenue Statistics heading, growth only (§7.11): historical years cash-basis; payable tax credits net where the anchor is gross (D17); EU own resources treated as revenue reductions in some years vs D.7 payable in ESA",True,B,OECD_RS_to_ESA_REV:1.0,1.0011,2024,strict+maximum
DEU,ESA_REV,R02,1995,anchor,OECD_RS,76631.0,0.9744202470852834,"OECD 5000 minus 5111 (goods & services taxes excl. VAT): OECD Revenue Statistics heading, growth only (§7.11): historical years cash-basis; payable tax credits net where the anchor is gross (D17); EU own resources treated as revenue reductions in some years vs D.7 payable in ESA; excludes D.29-type recurrent property taxes on producers (OECD 4000) — coverage measured",True,B,OECD_RS_to_ESA_REV:1.0,0.9161,2024,strict+maximum
DEU,ESA_REV,R03,1995,anchor,OECD_RS,174890.0,0.9330317190767052,"OECD 1100 personal income taxes: OECD Revenue Statistics heading, growth only (§7.11): historical years cash-basis; payable tax credits net where the anchor is gross (D17); EU own resources treated as revenue reductions in some years vs D.7 payable in ESA",True,B,OECD_RS_to_ESA_REV:1.0,1.0983,2024,strict+maximum
DEU,ESA_REV,R04,1995,anchor,OECD_RS,35288.0,1.006667379534098,"OECD 1200 corporate income taxes: OECD Revenue Statistics heading, growth only (§7.11): historical years cash-basis; payable tax credits net where the anchor is gross (D17); EU own resources treated as revenue reductions in some years vs D.7 payable in ESA",True,C,OECD_RS_to_ESA_REV:1.0,0.7559,2024,maximum_only
DEU,ESA_REV,R05,1995,anchor,OECD_RS,17834.0,0.9712261053122286,"OECD 4000 property taxes (recurrent, estate/gift, transaction) as proxy for other current + capital taxes: OECD Revenue Statistics heading, growth only (§7.11): historical years cash-basis; payable tax credits net where the anchor is gross (D17); EU own resources treated as revenue reductions in some years vs D.7 payable in ESA",True,B,OECD_RS_to_ESA_REV:1.0,0.9721,2024,strict+maximum
DEU,ESA_REV,R06,1995,anchor,OECD_RS,344172.0,0.956808018022568,"OECD 2000 compulsory social security contributions; anchor D.61 additionally includes imputed and voluntary contributions: OECD Revenue Statistics heading, growth only (§7.11): historical years cash-basis; payable tax credits net where the anchor is gross (D17); EU own resources treated as revenue reductions in some years vs D.7 payable in ESA",True,C,OECD_RS_to_ESA_REV:1.0,0.8503,2024,maximum_only
FRA,COFOG,GF01_7,1995,anchor,EC_AMECO,43924.4,0.9329579397178831,"AMECO UYIG: ESA gross GG interest payable (D.41), Commission redistribution of national accounts; same gross accrued concept",False,B,EC_AMECO_to_INTEREST:1.0,1.0214,2024,strict+maximum
FRA,ESA_REV,R01,1995,anchor,OECD_RS,89583.3,0.9570604691415736,"OECD 5111 VAT: OECD Revenue Statistics heading, growth only (§7.11): historical years cash-basis; payable tax credits net where the anchor is gross (D17); EU own resources treated as revenue reductions in some years vs D.7 payable in ESA",False,B,OECD_RS_to_ESA_REV:1.0,0.9909,2024,strict+maximum
FRA,ESA_REV,R02,1995,anchor,OECD_RS,101589.3,,"OECD 5000 minus 5111 (goods & services taxes excl. VAT): OECD Revenue Statistics heading, growth only (§7.11): historical years cash-basis; payable tax credits net where the anchor is gross (D17); EU own resources treated as revenue reductions in some years vs D.7 payable in ESA; excludes D.29-type recurrent property taxes on producers (OECD 4000) — coverage measured",False,D,OECD_RS_to_ESA_REV:1.0,0.4721,2024,not_applied_grade_D
FRA,ESA_REV,R03,1995,anchor,OECD_RS,62812.0,0.961694227732687,"OECD 1100 personal income taxes: OECD Revenue Statistics heading, growth only (§7.11): historical years cash-basis; payable tax credits net where the anchor is gross (D17); EU own resources treated as revenue reductions in some years vs D.7 payable in ESA",False,B,OECD_RS_to_ESA_REV:1.0,0.9862,2024,strict+maximum
FRA,ESA_REV,R04,1995,anchor,OECD_RS,21558.0,0.9963676972522699,"OECD 1200 corporate income taxes: OECD Revenue Statistics heading, growth only (§7.11): historical years cash-basis; payable tax credits net where the anchor is gross (D17); EU own resources treated as revenue reductions in some years vs D.7 payable in ESA",False,C,OECD_RS_to_ESA_REV:1.0,0.7862,2024,maximum_only
FRA,ESA_REV,R05,1995,anchor,OECD_RS,17703.199999999997,,"OECD 4000 property taxes (recurrent, estate/gift, transaction) as proxy for other current + capital taxes: OECD Revenue Statistics heading, growth only (§7.11): historical years cash-basis; payable tax credits net where the anchor is gross (D17); EU own resources treated as revenue reductions in some years vs D.7 payable in ESA",False,D,OECD_RS_to_ESA_REV:1.0,3.4832,2024,not_applied_grade_D
FRA,ESA_REV,R06,1995,anchor,OECD_RS,242478.3,1.0100277200365084,"OECD 2000 compulsory social security contributions; anchor D.61 additionally includes imputed and voluntary contributions: OECD Revenue Statistics heading, growth only (§7.11): historical years cash-basis; payable tax credits net where the anchor is gross (D17); EU own resources treated as revenue reductions in some years vs D.7 payable in ESA",False,C,OECD_RS_to_ESA_REV:1.0,0.8863,2024,maximum_only
GBR,COFOG,GF01_7,1990,ONS_PSF_INTEREST,EC_AMECO,21241.665562913906,0.9886644046884638,"AMECO UYIG: ESA gross GG interest payable (D.41), Commission redistribution of national accounts; same gross accrued concept",False,B,EC_AMECO_to_INTEREST:1.0,1.0439,2024,strict+maximum
GBR,COFOG,GF01_7,1995,anchor,ONS_PSF_INTEREST,26632.0,0.8720650210716436,"GG D.41 payable, accrued, ESA Table 2 (same institution; D10 fallback concept for COFOG 01.7)",False,B,EC_AMECO_to_INTEREST:1.0,0.9951,2024,strict+maximum
GBR,ESA_REV,R01,1990,anchor,OECD_RS,33620.0,0.929722287321303,"OECD 5111 VAT: OECD Revenue Statistics heading, growth only (§7.11): historical years cash-basis; payable tax credits net where the anchor is gross (D17); EU own resources treated as revenue reductions in some years vs D.7 payable in ESA",False,B,OECD_RS_to_ESA_REV:1.0,0.9998,2024,strict+maximum
GBR,ESA_REV,R02,1990,anchor,OECD_RS,37447.0,0.9254643206256109,"OECD 5000 minus 5111 (goods & services taxes excl. VAT): OECD Revenue Statistics heading, growth only (§7.11): historical years cash-basis; payable tax credits net where the anchor is gross (D17); EU own resources treated as revenue reductions in some years vs D.7 payable in ESA; excludes D.29-type recurrent property taxes on producers (OECD 4000) — coverage measured",False,C,OECD_RS_to_ESA_REV:1.0,0.6294,2024,maximum_only
GBR,ESA_REV,R03,1990,anchor,OECD_RS,59814.0,0.8158505024703391,"OECD 1100 personal income taxes: OECD Revenue Statistics heading, growth only (§7.11): historical years cash-basis; payable tax credits net where the anchor is gross (D17); EU own resources treated as revenue reductions in some years vs D.7 payable in ESA",False,B,OECD_RS_to_ESA_REV:1.0,0.9944,2024,strict+maximum
GBR,ESA_REV,R04,1990,anchor,OECD_RS,20070.0,1.1675635276532137,"OECD 1200 corporate income taxes: OECD Revenue Statistics heading, growth only (§7.11): historical years cash-basis; payable tax credits net where the anchor is gross (D17); EU own resources treated as revenue reductions in some years vs D.7 payable in ESA",False,B,OECD_RS_to_ESA_REV:1.0,1.0083,2024,strict+maximum
GBR,ESA_REV,R05,1990,anchor,OECD_RS,16391.0,,"OECD 4000 property taxes (recurrent, estate/gift, transaction) as proxy for other current + capital taxes: OECD Revenue Statistics heading, growth only (§7.11): historical years cash-basis; payable tax credits net where the anchor is gross (D17); EU own resources treated as revenue reductions in some years vs D.7 payable in ESA",False,D,OECD_RS_to_ESA_REV:1.0,1.4501,2024,not_applied_grade_D
GBR,ESA_REV,R06,1990,anchor,OECD_RS,42082.0,0.9455843515105784,"OECD 2000 compulsory social security contributions; anchor D.61 additionally includes imputed and voluntary contributions: OECD Revenue Statistics heading, growth only (§7.11): historical years cash-basis; payable tax credits net where the anchor is gross (D17); EU own resources treated as revenue reductions in some years vs D.7 payable in ESA",False,C,OECD_RS_to_ESA_REV:1.0,0.7507,2024,maximum_only
